col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69
1.391,1.813,2.253,2.701,3.142,3.564,3.956,3.854,4.61,4.848,1.403,1.864,2.377,2.939,3.545,4.191,4.877,5.622,6.367,7.173,1.415,1.919,2.513,3.199,3.976,4.844,5.802,6.849,7.982,9.201,1.44,1.979,2.662,3.483,4.441,5.531,6.749,8.143,9.537,11.095,1.46,2.05,2.83,3.787,4.929,6.235,7.708,9.382,10.793,12.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.284
1.372,1.771,2.189,2.614,3.035,3.442,3.823,3.736,4.477,4.726,1.382,1.817,2.299,2.825,3.392,3.997,4.64,5.338,6.036,6.791,1.393,1.865,2.418,3.052,3.766,4.561,5.434,6.385,7.412,8.513,1.4153,1.917,2.546,3.294,4.159,5.136,6.221,7.453,8.685,10.054,1.4256,1.9722,2.6744,3.548,4.56,5.708,6.992,8.441,9.66,11.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.324
1.36,1.746,2.149,2.561,2.97,3.367,3.742,3.663,4.395,4.651,1.37,1.788,2.252,2.757,3.3,3.881,4.497,5.1665,5.836,6.56,1.38,1.833,2.361,2.964,3.642,4.393,5.217,6.112,7.077,8.109,1.4,1.881,2.478,3.183,3.994,4.907,5.916,7.056,8.196,9.458,1.41,1.93,2.59,3.409,4.349,5.408,6.586,7.912,9.024,10.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.734
1.351,1.728,2.121,2.523,2.923,3.312,3.682,3.61,4.334,4.594,1.361,1.767,2.217,2.707,3.234,3.797,4.393,5.042,5.691,6.394,1.37,1.81,2.32,2.901,3.553,4.274,5.062,5.918,6.839,7.822,1.3889,1.854,2.429,3.104,3.878,4.745,5.701,6.7775,7.854,9.041,1.3989,1.9019,2.5338,3.312,4.201,5.199,6.305,7.546,8.585,10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.667
1.344,1.713,2.099,2.492,2.886,3.269,3.635,3.568,4.285,4.549,1.353,1.751,2.191,2.668,3.182,3.731,4.312,4.945,5.578,6.263,1.363,1.792,2.288,2.852,3.483,4.181,4.942,5.767,6.654,7.599,1.38,1.834,2.391,3.043,3.788,4.621,5.536,6.564,7.592,8.722,1.39,1.88,2.49,3.237,4.088,5.039,6.091,7.267,8.251,9.645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.874
1.339,1.701,2.08,2.467,2.854,3.233,3.596,3.532,4.244,4.511,1.347,1.738,2.168,2.636,3.14,3.676,4.245,4.8645,5.484,6.154,1.356,1.777,2.262,2.812,3.426,4.104,4.844,5.644,6.502,7.417,1.3725,1.817,2.359,2.993,3.715,4.519,5.402,6.3905,7.379,8.463,1.3825,1.8622,2.4545,3.176,3.996,4.909,5.918,7.043,7.983,9.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.247
1.334,1.691,2.064,2.446,2.828,3.202,3.562,3.501,4.209,4.478,1.342,1.726,2.15,2.609,3.103,3.63,4.188,4.796,5.404,6.062,1.351,1.764,2.239,2.778,3.378,4.039,4.76,5.539,6.374,7.264,1.3659,1.803,2.333,2.951,3.653,4.434,5.289,6.2445,7.2,8.246,1.3759,1.8466,2.4233,3.124,3.918,4.801,5.773,6.855,7.76,9.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.732
1.33,1.682,2.05,2.427,2.805,3.175,3.532,3.475,4.178,4.449,1.338,1.716,2.133,2.585,3.071,3.589,4.138,4.736,5.334,5.981,1.346,1.752,2.22,2.748,3.336,3.983,4.688,5.448,6.263,7.13,1.3601,1.79,2.31,2.914,3.599,4.36,5.191,6.1185,7.046,8.06,1.3702,1.8332,2.3965,3.08,3.852,4.708,5.649,6.695,7.568,8.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.297
1.326,1.674,2.038,2.41,2.784,3.151,3.505,3.451,4.15,4.422,1.334,1.707,2.118,2.564,3.043,3.553,4.094,4.6825,5.271,5.909,1.342,1.743,2.203,2.722,3.299,3.934,4.624,5.368,6.165,7.013,1.3548,1.779,2.29,2.882,3.552,4.295,5.106,6.0085,6.911,7.896,1.3649,1.8211,2.3721,3.041,3.793,4.626,5.541,6.555,7.401,8.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.922
1.323,1.667,2.027,2.395,2.765,3.129,3.481,3.429,4.124,4.398,1.33,1.699,2.105,2.545,3.017,3.52,4.054,4.6345,5.215,5.844,1.338,1.734,2.187,2.698,3.266,3.889,4.567,5.297,6.078,6.907,1.35,1.769,2.272,2.853,3.51,4.237,5.029,5.91,6.791,7.751,1.36,1.81,2.35,3.006,3.742,4.554,5.444,6.431,7.253,8.407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.592
